estado,E,N_curto_mesmo_cargo_mesmo_orgao,N_curto_mesmo_cargo_novo_orgao,N_curto_novo_cargo_mesmo_orgao,N_curto_novo_cargo_novo_orgao,N_imediato_mesmo_cargo_mesmo_orgao,N_imediato_mesmo_cargo_novo_orgao,N_imediato_novo_cargo_mesmo_orgao,N_imediato_novo_cargo_novo_orgao,N_longo_mesmo_cargo_mesmo_orgao,N_longo_mesmo_cargo_novo_orgao,N_longo_novo_cargo_mesmo_orgao,N_longo_novo_cargo_novo_orgao,N_medio_mesmo_cargo_mesmo_orgao,N_medio_mesmo_cargo_novo_orgao,N_medio_novo_cargo_mesmo_orgao,N_medio_novo_cargo_novo_orgao
E,0.02970922882427307,0.08217446270543616,0.02654867256637168,0.04509060261272651,0.01706700379266751,0.23809523809523808,0.08997050147492626,0.15676359039190899,0.09270965023177413,0.040455120101137804,0.01580278128950695,0.03898019384745049,0.018752633796881586,0.04193004635482512,0.012642225031605562,0.03560893383902233,0.017699115044247787
N_curto_mesmo_cargo_mesmo_orgao,0.7339449541284404,0.01834862385321101,0.009174311926605505,0.0,0.0,0.0,0.0,0.0,0.0,0.10091743119266056,0.009174311926605505,0.027522935779816515,0.01834862385321101,0.01834862385321101,0.027522935779816515,0.03669724770642202,0.0
N_curto_mesmo_cargo_novo_orgao,0.6744186046511628,0.023255813953488372,0.046511627906976744,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.023255813953488372,0.046511627906976744,0.0,0.046511627906976744,0.0,0.06976744186046512,0.0,0.023255813953488372
N_curto_novo_cargo_mesmo_orgao,0.671875,0.046875,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.03125,0.015625,0.0625,0.03125,0.015625,0.0,0.0,0.0
N_curto_novo_cargo_novo_orgao,0.6666666666666666,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.09523809523809523,0.0,0.047619047619047616,0.0,0.0,0.0
N_imediato_mesmo_cargo_mesmo_orgao,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_imediato_mesmo_cargo_novo_orgao,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_imediato_novo_cargo_mesmo_orgao,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_imediato_novo_cargo_novo_orgao,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_longo_mesmo_cargo_mesmo_orgao,0.5681818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.13636363636363635,0.022727272727272728,0.0,0.0,0.0,0.0
N_longo_mesmo_cargo_novo_orgao,0.5789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.21052631578947367,0.0,0.15789473684210525,0.0,0.0,0.0,0.0
N_longo_novo_cargo_mesmo_orgao,0.6486486486486487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08108108108108109,0.0,0.24324324324324326,0.02702702702702703,0.0,0.0,0.0,0.0
N_longo_novo_cargo_novo_orgao,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0
N_medio_mesmo_cargo_mesmo_orgao,0.8235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0392156862745098,0.0784313725490196,0.0,0.0,0.0,0.0,0.0
N_medio_mesmo_cargo_novo_orgao,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.05,0.0,0.0,0.0,0.0
N_medio_novo_cargo_mesmo_orgao,0.8529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.08823529411764706,0.0,0.0,0.0,0.029411764705882353,0.0
N_medio_novo_cargo_novo_orgao,0.6296296296296297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.1111111111111111,0.07407407407407407,0.07407407407407407,0.0,0.07407407407407407
