estado,prox_estado,count
E,E,141
E,N_curto_mesmo_cargo_mesmo_orgao,390
E,N_curto_mesmo_cargo_novo_orgao,126
E,N_curto_novo_cargo_mesmo_orgao,214
E,N_curto_novo_cargo_novo_orgao,81
E,N_imediato_mesmo_cargo_mesmo_orgao,1130
E,N_imediato_mesmo_cargo_novo_orgao,427
E,N_imediato_novo_cargo_mesmo_orgao,744
E,N_imediato_novo_cargo_novo_orgao,440
E,N_longo_mesmo_cargo_mesmo_orgao,192
E,N_longo_mesmo_cargo_novo_orgao,75
E,N_longo_novo_cargo_mesmo_orgao,185
E,N_longo_novo_cargo_novo_orgao,89
E,N_medio_mesmo_cargo_mesmo_orgao,199
E,N_medio_mesmo_cargo_novo_orgao,60
E,N_medio_novo_cargo_mesmo_orgao,169
E,N_medio_novo_cargo_novo_orgao,84
N_curto_mesmo_cargo_mesmo_orgao,E,80
N_curto_mesmo_cargo_mesmo_orgao,N_curto_mesmo_cargo_mesmo_orgao,2
N_curto_mesmo_cargo_mesmo_orgao,N_curto_mesmo_cargo_novo_orgao,1
N_curto_mesmo_cargo_mesmo_orgao,N_longo_mesmo_cargo_mesmo_orgao,11
N_curto_mesmo_cargo_mesmo_orgao,N_longo_mesmo_cargo_novo_orgao,1
N_curto_mesmo_cargo_mesmo_orgao,N_longo_novo_cargo_mesmo_orgao,3
N_curto_mesmo_cargo_mesmo_orgao,N_longo_novo_cargo_novo_orgao,2
N_curto_mesmo_cargo_mesmo_orgao,N_medio_mesmo_cargo_mesmo_orgao,2
N_curto_mesmo_cargo_mesmo_orgao,N_medio_mesmo_cargo_novo_orgao,3
N_curto_mesmo_cargo_mesmo_orgao,N_medio_novo_cargo_mesmo_orgao,4
N_curto_mesmo_cargo_novo_orgao,E,29
N_curto_mesmo_cargo_novo_orgao,N_curto_mesmo_cargo_mesmo_orgao,1
N_curto_mesmo_cargo_novo_orgao,N_curto_mesmo_cargo_novo_orgao,2
N_curto_mesmo_cargo_novo_orgao,N_curto_novo_cargo_novo_orgao,2
N_curto_mesmo_cargo_novo_orgao,N_longo_mesmo_cargo_mesmo_orgao,1
N_curto_mesmo_cargo_novo_orgao,N_longo_mesmo_cargo_novo_orgao,2
N_curto_mesmo_cargo_novo_orgao,N_longo_novo_cargo_novo_orgao,2
N_curto_mesmo_cargo_novo_orgao,N_medio_mesmo_cargo_novo_orgao,3
N_curto_mesmo_cargo_novo_orgao,N_medio_novo_cargo_novo_orgao,1
N_curto_novo_cargo_mesmo_orgao,E,43
N_curto_novo_cargo_mesmo_orgao,N_curto_mesmo_cargo_mesmo_orgao,3
N_curto_novo_cargo_mesmo_orgao,N_curto_novo_cargo_mesmo_orgao,8
N_curto_novo_cargo_mesmo_orgao,N_longo_mesmo_cargo_mesmo_orgao,2
N_curto_novo_cargo_mesmo_orgao,N_longo_mesmo_cargo_novo_orgao,1
N_curto_novo_cargo_mesmo_orgao,N_longo_novo_cargo_mesmo_orgao,4
N_curto_novo_cargo_mesmo_orgao,N_longo_novo_cargo_novo_orgao,2
N_curto_novo_cargo_mesmo_orgao,N_medio_mesmo_cargo_mesmo_orgao,1
N_curto_novo_cargo_novo_orgao,E,14
N_curto_novo_cargo_novo_orgao,N_curto_mesmo_cargo_novo_orgao,2
N_curto_novo_cargo_novo_orgao,N_longo_mesmo_cargo_novo_orgao,2
N_curto_novo_cargo_novo_orgao,N_longo_novo_cargo_mesmo_orgao,2
N_curto_novo_cargo_novo_orgao,N_medio_mesmo_cargo_mesmo_orgao,1
N_imediato_mesmo_cargo_mesmo_orgao,E,453
N_imediato_mesmo_cargo_novo_orgao,E,179
N_imediato_novo_cargo_mesmo_orgao,E,176
N_imediato_novo_cargo_novo_orgao,E,115
N_longo_mesmo_cargo_mesmo_orgao,E,25
N_longo_mesmo_cargo_mesmo_orgao,N_longo_mesmo_cargo_mesmo_orgao,8
N_longo_mesmo_cargo_mesmo_orgao,N_longo_mesmo_cargo_novo_orgao,4
N_longo_mesmo_cargo_mesmo_orgao,N_longo_novo_cargo_mesmo_orgao,6
N_longo_mesmo_cargo_mesmo_orgao,N_longo_novo_cargo_novo_orgao,1
N_longo_mesmo_cargo_novo_orgao,E,11
N_longo_mesmo_cargo_novo_orgao,N_longo_mesmo_cargo_mesmo_orgao,1
N_longo_mesmo_cargo_novo_orgao,N_longo_mesmo_cargo_novo_orgao,4
N_longo_mesmo_cargo_novo_orgao,N_longo_novo_cargo_novo_orgao,3
N_longo_novo_cargo_mesmo_orgao,E,24
N_longo_novo_cargo_mesmo_orgao,N_longo_mesmo_cargo_mesmo_orgao,3
N_longo_novo_cargo_mesmo_orgao,N_longo_novo_cargo_mesmo_orgao,9
N_longo_novo_cargo_mesmo_orgao,N_longo_novo_cargo_novo_orgao,1
N_longo_novo_cargo_novo_orgao,E,14
N_longo_novo_cargo_novo_orgao,N_longo_mesmo_cargo_novo_orgao,1
N_longo_novo_cargo_novo_orgao,N_longo_novo_cargo_novo_orgao,1
N_medio_mesmo_cargo_mesmo_orgao,E,42
N_medio_mesmo_cargo_mesmo_orgao,N_longo_mesmo_cargo_mesmo_orgao,3
N_medio_mesmo_cargo_mesmo_orgao,N_longo_mesmo_cargo_novo_orgao,2
N_medio_mesmo_cargo_mesmo_orgao,N_longo_novo_cargo_mesmo_orgao,4
N_medio_mesmo_cargo_novo_orgao,E,16
N_medio_mesmo_cargo_novo_orgao,N_longo_mesmo_cargo_mesmo_orgao,1
N_medio_mesmo_cargo_novo_orgao,N_longo_mesmo_cargo_novo_orgao,2
N_medio_mesmo_cargo_novo_orgao,N_longo_novo_cargo_novo_orgao,1
N_medio_novo_cargo_mesmo_orgao,E,29
N_medio_novo_cargo_mesmo_orgao,N_longo_mesmo_cargo_mesmo_orgao,1
N_medio_novo_cargo_mesmo_orgao,N_longo_novo_cargo_mesmo_orgao,3
N_medio_novo_cargo_mesmo_orgao,N_medio_novo_cargo_mesmo_orgao,1
N_medio_novo_cargo_novo_orgao,E,17
N_medio_novo_cargo_novo_orgao,N_longo_novo_cargo_mesmo_orgao,1
N_medio_novo_cargo_novo_orgao,N_longo_novo_cargo_novo_orgao,3
N_medio_novo_cargo_novo_orgao,N_medio_mesmo_cargo_mesmo_orgao,2
N_medio_novo_cargo_novo_orgao,N_medio_mesmo_cargo_novo_orgao,2
N_medio_novo_cargo_novo_orgao,N_medio_novo_cargo_novo_orgao,2
