estado,diario,data_publicacao,caderno,tipo_ato,nome,id_funcional,assinante,cargo_assinante,categoria_assinante,spacy_pessoa,spacy_entidades,nome_parse_confiavel,cargo,orgao,trecho,fonte_url,arquivo_markdown
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-30,Parte I (Poder Executivo),nomeacao,MARIA FERNANDA SORANZ PINTO,,,,,sim,MARIA FERNANDA SORANZ PINTO:PER,sim,para exercer o cargo em comissão de Assistente,,"NOMEAR MARIA FERNANDA SORANZ PINTO para exercer o cargo em comissão de Assistente, símbolo DAS-6, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDBSa1EwOUZSa1JPYWsxMFQxUkZlRTFwTURCUFJGRjVURlZGTWs1VlVYUk5lbWhGVDFSamVGSnFRVFZOYWxsNFRWUmpNMDlFUVRGT1ZFRXhUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-30.md
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),exoneracao,TA TIANE FARIA BARROS DE OLIVEIRA,42113431/3,,,,sim,TA TIANE FARIA BARROS DE OLIVEIRA:MISC|Ta Tiane Faria Barros De Oliveira:PER,sim,do cargo em comissão de Superintendente,da Superintendência Técnica Administrativa,"EXONERAR com validade a contar de 09 de dezembro de 2020, TA TIANE FARIA BARROS DE OLIVEIRA , ID FUNCIONAL Nº 42113431/3, do cargo em comissão de Superintendente, símbolo DG, da Superintendência Técnica Administrativa, da Subsecretaria Executiva, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),exoneracao,RAFAEL ALVES DE SOUZA,5099554-5,,,,sim,RAFAEL ALVES DE SOUZA:PER,sim,do cargo em comissão de Superintendente,,"EXONERAR com validade a contar de 21 de dezembro de 2020, RAFAEL ALVES DE SOUZA , ID FUNCIONAL N° 5099554-5, do cargo em comissão de Superintendente, símbolo DG, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),exoneracao,LUIZ EDMUNDO HORTA BARBOSA COSTA LEITE,562707-9,,,,sim,LUIZ EDMUNDO HORTA:PER,sim,do cargo em comissão de Subsecretário de Estado,da Subsecretaria de Relações Internacionais e Administração Indiretas,"EXONERAR a pedido, LUIZ EDMUNDO HORTA BARBOSA COSTA LEITE, ID FUNCIONAL Nº 562707-9, do cargo em comissão de Subsecretário de Estado, símbolo SS, da Subsecretaria de Relações Internacionais e Administração Indiretas, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),nomeacao,JOANNES BOSCO GUGLIELMI SILVEIRA,,,,,sim,JOANNES BOSCO GUGLIELMI SILVEIRA:MISC|Joannes Bosco:PER,sim,,da Subsecretaria de Relações Internacionais e Administração Indiretas,"NOMEAR JOANNES BOSCO GUGLIELMI SILVEIRA para exercer, com validade a contar de 23 de dezembro de 2020, o cargo em comissão de Subsecretário de Estado, símbolo SS, da Subsecretaria de Relações Internacionais e Administração Indiretas, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),exoneracao,JOÃO ALFREDO MEDEIROS,5115699-7,,,,sim,JOÃO:MISC|João Alfredo Medeiros:PER,sim,do cargo em comissão de Assessor Especial,,"EXONERAR a pedido, JOÃO ALFREDO MEDEIROS , ID FUNCIONAL Nº 5115699-7, do cargo em comissão de Assessor Especial, sím- bolo DG, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),nomeacao,KATIA ELIOT BARRETO,,,,,sim,KATIA:ORG|Katia Eliot Barreto:PER,sim,,,"NOMEAR KATIA ELIOT BARRETO para exercer, com validade a contar de 23 de dezembro de 2020, o cargo em comissão de Assessor Especial, símbolo DG, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),nomeacao,ALEXANDRE BASTOS LOUREIRO DOS SANTOS,4409313-6,,,,sim,ALEXANDRE:MISC|DOS SANTOS:MISC|Alexandre Bastos Loureiro Dos Santos:PER,sim,,da Subsecretaria de Relações Internacionais e Administração Indiretas,"NOMEAR ALEXANDRE BASTOS LOUREIRO DOS SANTOS , ID FUNCIONAL Nº 4409313-6, para exercer, com validade a contar de 23 de dezembro de 2020, o cargo em comissão de Assessor-Chefe, símbolo DG, da Subsecretaria de Relações Internacionais e Administração Indiretas, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),nomeacao,RAFAEL AUGUSTO PENNA FRANCA,,,,,sim,RAFAEL AUGUSTO PENNA FRANCA:PER,sim,,,"NOMEAR RAFAEL AUGUSTO PENNA FRANCA para exercer, o cargo de Conselheiro, símbolo SE, do Conselho Diretor da Agência Reguladora de Energia e Saneamento Básico do Estado do Rio de Janeiro - AGENERSA, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),nomeacao,VLADIMIR PASCHOAL MACEDO,,,,,sim,VLADIMIR PASCHOAL:PER,sim,,,"NOMEAR VLADIMIR PASCHOAL MACEDO para exercer, o cargo de Conselheiro, símbolo SE, do Conselho Diretor da Agência Reguladora de Energia e Saneamento Básico do Estado do Rio de Janeiro AGENERSA, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
