nome_normalizado,ordem_pessoa,estado,diario,data_publicacao,ano,tipo_ato,nome,nome_original_csv,spacy_pessoa,spacy_entidades,cargo,orgao,caderno,fonte_url,arquivo_markdown,arquivo_csv,linha_csv,ato_anterior,data_anterior,cargo_anterior,orgao_anterior,dias_desde_anterior,retorno_apos_exoneracao,data_exoneracao_anterior,cargo_exoneracao_anterior,orgao_exoneracao_anterior,dias_desde_exoneracao,mudou_cargo_desde_exoneracao,mudou_orgao_desde_exoneracao,marco_governo,data_marco_governo,dias_desde_marco_governo
ABEI￾LARD GOULART DE SOUZA FILHO,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-08-05,2024,exoneracao,ABEI￾LARD GOULART DE SOUZA FILHO,ABEI￾LARD GOULART DE SOUZA FILHO,sim,ABEI￾LARD GOULART DE SOUZA FILHO:PER,do cargo em comissão de Técnico Assistente,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwWk1sSnFUVEpSYWxsMFVWUm5lbEpUTURCT1JGazBURlJuTkU1RVZYUk9SR1JDVWtSak1FNXFZekpPVkd0NlRWUmpNMDU2VlhsTmFrazFUV2M5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\08\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-08-05.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,3133,,,,,,nao,,,,,,,,,
ABEL ASSIS CABRAL DA SILVA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-10-10,2025,exoneracao,ABEL ASSIS CABRAL DA SILVA,ABEL ASSIS CABRAL DA SILVA,sim,ABEL ASSIS CABRAL DA SILVA:PER,do cargo em comissão de Assessor Especial,da Superintendência de Desportos do Estado do Rio de Janeiro - SUDERJ,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDFSUmVVOVZXWGhQUlZGMFVWVkpORkZUTURCUmFteENURlJvUkU5VVVYUk9NRkpGVW1wVmVGRXdWVEpQUlVwRlRWUmpNMDU2VlhoTmVtdDNUVkU5UFE9PQ==,LAKE\RJ\2025\10\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-10-10.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,2042,,,,,,nao,,,,,,,,,
ABEL MAGNAGO MATA RIBEIRO,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-03-10,2025,exoneracao,ABEL MAGNAGO MATA RIBEIRO,ABEL MAGNAGO MATA RIBEIRO,sim,ABEL MAGNAGO:MISC|MATA RIBEIRO:LOC|Abel Magnago Mata Ribeiro:PER,do cargo em comissão de Secretário,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGtWWk0wOVZUVEZQUkZGMFRUQk5lRkpUTURCTlZHTXpURlJvUkU1VlRYUk5WRUV4VFdwQmVrNVVTWHBQUkVKSFRWUmpNMDU2VlhoT2FtZDNUbEU5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-10.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,7723,,,,,,nao,,,,,,,,,
ABELARD PAIVA DE ABREU,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-02-16,2024,exoneracao,ABELARD PAIVA DE ABREU,ABELARD PAIVA DE ABREU,sim,ABELARD:ORG|Abelard Paiva:PER,,do Departamento de Administração e Finanças,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGtSSk1GSnFhRU5QVkdOMFRVVlJlbEpUTURCTmVtUkZURlZLUjA1RlVYUk9SVkV6VFZWRk0wNUVRWGRQVlVVMVRWUmpNMDU2VlRCT2FtTjNUVUU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-02-16.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,7796,,,,,,nao,,,,,,,,,
ABIDU CANA FERREIRA CAVALCANTI DE ALBUQUER￾QUE,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-02-16,2024,nomeacao,ABIDU CANÃ FERREIRA CAVALCANTI DE ALBUQUER￾QUE,ABIDU CANÃ FERREIRA CAVALCANTI DE ALBUQUER￾QUE,sim,ABIDU:ORG|FERREIRA CAVALCANTI:MISC|Abidu Canã Ferreira Cavalcanti De:PER,,da Fundação para a Infância e Adolescência - FIA/RJ,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGtSSk1GSnFhRU5QVkdOMFRVVlJlbEpUTURCTmVtUkZURlZLUjA1RlVYUk9SVkV6VFZWRk0wNUVRWGRQVlVVMVRWUmpNMDU2VlRCT2FtTjNUVUU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-02-16.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,7782,,,,,,nao,,,,,,,,,
ABIGAIL DOS ANJOS SILVA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2023-12-06,2023,nomeacao,ABIGAIL DOS ANJOS SILVA,ABIGAIL DOS ANJOS SILVA,sim,ABIGAIL DOS ANJOS SILVA:LOC|Abigail Dos Anjos Silva:PER,,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVZSa1IwNUZUa1pPVlVWMFRYcFZkMDE1TURCU1ZFWkNURlZLUWxKcWEzUk9hMFUwVVRCU1JWRXdTa1JTVkUwd1RWUmpNMDU2VlRCT2FtY3pUbmM5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2023\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2023-12-06.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2023.csv,588,,,,,,nao,,,,,,,,,
ABIGAIL RIBEIRO GOMES,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2026-03-09,2026,nomeacao,ABIGAIL RIBEIRO GOMES,ABIGAIL RIBEIRO GOMES,sim,ABIGAIL RIBEIRO GOMES:LOC|Abigail Ribeiro Gomes:PER,,da Fundação de Apoio À Escola Técnica do Estado do Rio de Janeiro - FAETEC,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVRCSk5GRnFiRVJSVlZGMFVrVkplRTFUTURCUmFrWkRURlJvUkU1RldYUlBSR3N4VG1wc1JVMXJTa1pQVkZKR1RWUmpNMDU2VlhoTlJFRXpUa0U5UFE9PQ==,LAKE\RJ\2026\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-03-09.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2026.csv,2316,,,,,,nao,,,,,,,,,
ACACIO BARBOSA SILVA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2023-12-19,2023,exoneracao,ACÁCIO BARBOSA SILVA,ACÁCIO BARBOSA SILVA,sim,ACÁCIO BARBOSA SILVA:PER,do cargo em comissão de Adjunto I,do Instituto Estadual do Ambiente - INEA,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFRCUk0xRnFRa1pTYTBsMFRYcFpNazFUTURCUFJWSkVURlJvUjFGcVRYUlJWRXBDVVZWS1JVNVVUVEJQUkd4RVRWUmpNMDU2VlRCT2FtY3dUWGM5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2023\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2023-12-19.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2023.csv,225,,,,,,nao,,,,,,,,,
ACACIO BARBOSA SILVA,2,RJ,Diario Oficial do Estado do Rio de Janeiro,2023-12-19,2023,nomeacao,ACÁCIO BARBOSA SILVA,ACÁCIO BARBOSA SILVA,sim,ACÁCIO BARBOSA SILVA:PER,,do Instituto Estadual do Ambiente - INEA,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFRCUk0xRnFRa1pTYTBsMFRYcFpNazFUTURCUFJWSkVURlJvUjFGcVRYUlJWRXBDVVZWS1JVNVVUVEJQUkd4RVRWUmpNMDU2VlRCT2FtY3dUWGM5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2023\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2023-12-19.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2023.csv,226,exoneracao,2023-12-19,do cargo em comissão de Adjunto I,do Instituto Estadual do Ambiente - INEA,0,sim,2023-12-19,do cargo em comissão de Adjunto I,do Instituto Estadual do Ambiente - INEA,0,nao,nao,,,
ACACIO BARBOSA SILVA,3,RJ,Diario Oficial do Estado do Rio de Janeiro,2026-04-27,2026,exoneracao,ACACIO BARBOSA SILVA,ACACIO BARBOSA SILVA,sim,ACACIO:ORG|Acacio Barbosa Silva:PER,do cargo em comissão de Chefe de Serviço,da Superintendência Regional de Dois Rios,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGtSQ1IwMXJXVEZSVkZsMFRqQlpNRkY1TURCT01GVjRURlZKZDAxRVNYUlBSVVYzVDFSRk0wOVViRUpTUkZreFRWUmpNMDU2VlhkT2FtTXdUWGM5UFE9PQ==,LAKE\RJ\2026\04\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-04-27.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2026.csv,286,nomeacao,2023-12-19,,do Instituto Estadual do Ambiente - INEA,860,nao,,,,,,,,,
