motivo_rejeicao,nome_original_csv,nome_limpo,spacy_pessoa,spacy_entidades,estado,data_publicacao,tipo_ato,cargo,orgao,assinante,cargo_assinante,categoria_assinante,governador_edicao,representante_governo,origem_representante,fonte_url,arquivo_markdown,arquivo_csv,linha_csv
tem_numero;termo_administrativo,FICA REVOGADA A PORTARIA Nº 1517/2012. 1 - SMEC (,FICA REVOGADA A PORTARIA Nº 1517/2012. 1 - SMEC (,sim,FICA REVOGADA:LOC|PORTARIA Nº 1517/2012:ORG|SMEC:MISC|Fica Revogada A Portaria Nº 1517/2012:LOC|Smec:PER,RJ,2012-12-13,nomeacao,,,,,,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFd0Wk1GRlVTVFJSVlVsMFQxUlJlRkpETURCUFZWcEhURlJuTVUxclVYUk9SRUpGVGxSamQwMXFTWGROUkZFMFRWUmpNMDlVUVRGT1JHdDZUbWM5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2012\12\DOERJ_DO_CAMPOS_PODER_EXECUTIVO_2012-12-13.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2012.csv,50
tem_numero;termo_administrativo,ID FUNCIONAL Nº 3252354-8,ID FUNCIONAL Nº 3252354-8,sim,ID FUNCIONAL:PER,RJ,2012-12-12,exoneracao,do cargo em comissão de Diretor,da Superintendência Técnica Administrativa,,Secretario,5,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VG5wWk1VMTZVVFJOVlZsMFQxUkNRbEpUTURCTlJVMDFURlJzUmsxRlRYUlJlbXQzVFhwSmVrNXJXVEZTVkVKRlRWUmpNMDlVUVRGT1ZFMTNUVUU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2012\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2012-12-12.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2012.csv,53
tem_numero;termo_administrativo,ID FUNCIONAL Nº 5000669-0,ID FUNCIONAL Nº 5000669-0,sim,ID FUNCIONAL:PER,RJ,2012-12-06,exoneracao,do cargo em comissão de Assessor,,,Secretario,5,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGtSc1JWSlVZM3BSZWsxMFRucE5NRTE1TURCU2ExWkZURlJzUmxGcVdYUk5hbHBDVVhwTmVsRnFXVE5OTUZWM1RWUmpNMDlVUVRGT2FsRTBUVUU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2012\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2012-12-06.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2012.csv,90
termo_administrativo,MARCELLE LEONARDO BRAGA CARGO,MARCELLE LEONARDO BRAGA CARGO,sim,MARCELLE LEONARDO BRAGA CARGO:MISC|Marcelle Leonardo Braga Cargo:PER,RJ,2012-11-14,nomeacao,,,,Secretario,5,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGtWUk5VMXFRWGxTVkdOMFRsUlZlVkZUTURCUlZVVXlURlZLUjA1VlZYUk9hbEpFVDFWTmVGSnFWa05SZWtaQ1RWUmpNMDlVUVRKTmFtdDVUa0U5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2012\11\DOERJ_PARTE_I_PODER_EXECUTIVO_2012-11-14.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2012.csv,230
tem_numero;muito_longo,31 DE OUTUBRO DE 2012 PATRÍCIA CORDEIRO ALVES =PRESIDENTE DA FCJOL= COORDENADORIA DE INFRAESTRUTURA,31 DE OUTUBRO DE 2012 PATRÍCIA CORDEIRO ALVES =PRESIDENTE DA FCJOL= COORDENADORIA DE INFRAESTRUTURA,sim,OUTUBRO:MISC|CORDEIRO ALVES:MISC|COORDENADORIA DE INFRAESTRUTURA:MISC|De Outubro:MISC|Patrícia Cordeiro Alves:PER,RJ,2012-11-08,exoneracao,,,,,,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVRCS1ExSkZXWGxPTUVsMFRucGFRMUpETURCUmExVjNURlJuTTFGcVFYUk9SR1JIVFZSa1IxSnFSWGRSTUU1RVRWUmpNMDlVUVRKTmVtZDNUbEU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2012\11\DOERJ_DO_CAMPOS_PODER_EXECUTIVO_2012-11-08.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2012.csv,356
termo_administrativo,ROSANGELA NUNES DA COSTA CARGO EM COMISSÃO DE ASSESSOR,ROSANGELA NUNES DA COSTA CARGO EM COMISSÃO DE ASSESSOR,sim,ROSANGELA NUNES:MISC|COSTA CARGO:MISC|Rosangela Nunes Da Costa Cargo:PER,RJ,2012-11-05,exoneracao,,,,Secretario,5,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFVSR1IwMUVTa0pQVlUxMFRrUlJORTFwTURCT1JGSkZURlJyTkZGcVFYUk9lbEpGVWxWSmVVNTZUVFZQVlZrMFRWUmpNMDlVUVRKT1JGVXpUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2012\11\DOERJ_PARTE_I_PODER_EXECUTIVO_2012-11-05.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2012.csv,408
tem_numero,MARCADA PARA SETEMBRO DE 2014. ENTIDADES GOVERNAMENTAIS,MARCADA PARA SETEMBRO DE 2014. ENTIDADES GOVERNAMENTAIS,sim,MARCADA:LOC|SETEMBRO:ORG|GOVERNAMENTAIS:MISC|Marcada Para Setembro:MISC|Entidades Governamentais:PER,RJ,2012-10-29,nomeacao,,,,,,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVdwc1ExSlVXWHBPUkZsMFVrUkNRMDE1TURCT2Ftc3pURlZLUmsxRlJYUlJhMWt4VDBSSk1FNTZWWGxPYW1zMFRWUmpNMDlVUVRKT2FrRXlUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2012\10\DOERJ_DO_CAMPOS_PODER_EXECUTIVO_2012-10-29.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2012.csv,440
tem_numero,24 DE OUTUBRO DE 2012. ROSINHA GAROTINHO -PREFEITAID: 1400002,24 DE OUTUBRO DE 2012. ROSINHA GAROTINHO -PREFEITAID: 1400002,sim,OUTUBRO:MISC|ROSINHA GAROTINHO:MISC|24 De Outubro:MISC|Rosinha Garotinho:PER,RJ,2012-10-26,exoneracao,,,,,,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFZScmVFOUVUVEpSVlVsMFVXcG5ORTE1TURCT1ZHTXlURlZKTkZKVVFYUlBSVlV6VVZWWk5GRlVVa1JOYWxFeVRWUmpNMDlVUVRKT2Vra3pUV2M5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2012\10\DOERJ_DO_CAMPOS_PODER_EXECUTIVO_2012-10-26.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2012.csv,446
termo_administrativo,AGENTE ADMINISTRATIVO II,AGENTE ADMINISTRATIVO II,sim,AGENTE ADMINISTRATIVO II:PER,RJ,2012-10-05,nomeacao,para exercer o cargo em comissão de Secretário II,do Departamento Geral de Administração e Finanças,,Secretario,5,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFRCWk5GRlVaM2xQVkVWMFVsUm9SbEpwTURCT01FcEhURlJvUlUxVlRYUk5WRnBFVFd0R1JrNUVRVEpTYW1ONlRWUmpNMDlVUVRWTmVra3hUbWM5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2012\10\DOERJ_PARTE_I_PODER_EXECUTIVO_2012-10-05.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2012.csv,585
termo_administrativo,ASSISTENTE SOCIAL,ASSISTENTE SOCIAL,sim,Assistente Social:PER,RJ,2012-10-02,nomeacao,para exercer o cargo em comissão de Diretor,do Departamento Geral de Serviço Social,,Secretario,5,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFd0R1IxRnJWVFZSVkdOMFRXdE5OVTVETURCT1JGVXpURlZGTVU1NmEzUlNSRUV5VDBWYVJGSlZWVEJOVkd4Q1RWUmpNMDlVUVRWTmVtc3lUVUU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2012\10\DOERJ_PARTE_I_PODER_EXECUTIVO_2012-10-02.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2012.csv,601
