nome_normalizado,nome_exemplo,total_atos,total_nomeacoes,total_exoneracoes,total_retornos_apos_exoneracao,primeira_data,ultima_data,cargos_distintos,orgaos_distintos,teve_nomeacao_e_exoneracao,teve_retorno_apos_exoneracao
## HELBERT MONTE COSTA,## HELBERT MONTE COSTA,1,0,1,0,2025-09-02,2025-09-02,1,1,nao,nao
## MARIA SOARES DE BARROS,## MARIA SOARES DE BARROS,1,0,1,0,2022-04-01,2022-04-01,1,0,nao,nao
'ANA CLARA FERREIRA LIRA,'ANA CLARA FERREIRA LIRA,1,0,1,0,2025-10-21,2025-10-21,1,0,nao,nao
ABDIAS CRUZ DA SILVA,ABDIAS CRUZ DA SILVA,4,2,2,1,2021-03-09,2023-11-06,3,0,sim,sim
ABDON MUSTAFA MUSSER,ABDON MUSTAFA MUSSER,1,0,1,0,2021-08-03,2021-08-03,1,1,nao,nao
ABEILARD GOULART DE SOUZA FILHO,ABEILARD GOULART DE SOUZA FILHO,1,0,1,0,2024-08-05,2024-08-05,1,1,nao,nao
ABEL ASSIS CABRAL DA SILVA,ABEL ASSIS CABRAL DA SILVA,4,2,2,1,2023-10-24,2025-10-24,3,2,sim,sim
ABEL JUNIOR ALMEIDA PACHECO,ABEL JUNIOR ALMEIDA PACHECO,1,0,1,0,2021-04-29,2021-04-29,1,1,nao,nao
ABEL MAGNAGO MATA RIBEIRO,ABEL MAGNAGO MATA RIBEIRO,2,1,1,0,2023-05-04,2025-03-10,1,0,sim,nao
ABELARD PAIVA DE ABREU,ABELARD PAIVA DE ABREU,3,1,2,1,2021-03-11,2024-02-16,3,1,sim,sim
ABELARDO FURTADO PEREIRA FILHO,ABELARDO FURTADO PEREIRA FILHO,2,1,1,0,2020-10-21,2020-11-09,1,1,sim,nao
ABELARDO HOLLANDA DO AMARAL FILHO,ABELARDO HOLLANDA DO AMARAL FILHO,2,1,1,0,2022-03-09,2022-07-13,2,2,sim,nao
ABELSON BEZERRA MARINS,ABELSON BEZERRA MARINS,1,1,0,0,2023-05-24,2023-05-24,0,1,nao,nao
ABIDU CANA FERREIRA CAVALCANTI DE ALBUQUERQUE,ABIDU CANÃ FERREIRA CAVALCANTI DE ALBUQUERQUE,2,1,1,0,2024-02-16,2026-02-19,1,2,sim,nao
ABIGAIL DOS ANJOS SILVA,ABIGAIL DOS ANJOS SILVA,1,1,0,0,2023-12-06,2023-12-06,0,0,nao,nao
ABIGAIL RIBEIRO GOMES,ABIGAIL RIBEIRO GOMES,1,1,0,0,2026-03-09,2026-03-09,0,1,nao,nao
ABNER FERNANDO ALMEIDA CAVALCANTI DA SILVA,ABNER FERNANDO ALMEIDA CAVALCANTI DA SILVA,1,1,0,0,2023-09-20,2023-09-20,0,1,nao,nao
ABRAAO OLIMPIO DOS SANTOS,ABRAÃO OLIMPIO DOS SANTOS,1,1,0,0,2023-09-28,2023-09-28,0,1,nao,nao
ABRAAO RAMOS PEREIRA BRAZ,ABRAÃO RAMOS PEREIRA BRAZ,1,1,0,0,2021-03-16,2021-03-16,1,1,nao,nao
ABRAHAO DE SOUZA CLIMACO DA CUNHA,ABRAHÃO DE SOUZA CLIMACO DA CUNHA,4,2,2,1,2020-12-08,2021-08-05,4,2,sim,sim
ACACIO BARBOSA SILVA,ACÁCIO BARBOSA SILVA,3,1,2,1,2023-12-19,2026-04-27,2,2,sim,sim
ACACIO SOUZA DA SILVA,ACACIO SOUZA DA SILVA,4,2,2,2,2023-03-15,2026-04-20,3,2,sim,sim
ACAGEPAN LUIZ DE AZEVEDO DA SILVA,ACAGEPAN LUIZ DE AZEVEDO DA SILVA,2,1,1,0,2023-11-22,2024-10-25,2,2,sim,nao
ACAUA DE SOUZA LOPES FAGUNDES,ACAUÃ DE SOUZA LOPES FAGUNDES,1,1,0,0,2025-02-19,2025-02-19,0,1,nao,nao
ACHILLES SOARES MARTINS,ACHILLES SOARES MARTINS,3,2,1,1,2023-10-04,2024-11-05,1,0,sim,sim
ACYR PIRES AGUIAR,ACYR PIRES AGUIAR,1,0,1,0,2022-11-09,2022-11-09,1,1,nao,nao
ADAGOBERTO DA COSTA FEIJO,ADAGOBERTO DA COSTA FEIJÓ,2,1,1,0,2022-08-09,2022-12-21,1,0,sim,nao
ADAH ROSA DA CONCEICAO PEREIRA,ADAH ROSA DA CONCEIÇÃO PEREIRA,1,1,0,0,2024-12-23,2024-12-23,1,0,nao,nao
ADAILTON DE FRANCA SOARES,ADAILTON DE FRANÇA SOARES,1,0,1,0,2020-11-30,2020-11-30,1,1,nao,nao
ADALBERTO DE PAULA NASCIMENTO,ADALBERTO DE PAULA NASCIMENTO,1,1,0,0,2026-04-16,2026-04-16,0,1,nao,nao
ADALBERTO LOURENCO PEREIRA,ADALBERTO LOURENÇO PEREIRA,2,1,1,0,2021-05-06,2022-05-05,1,1,sim,nao
ADALBERTO MELO DA SILVA,ADALBERTO MELO DA SILVA,1,1,0,0,2025-08-25,2025-08-25,0,1,nao,nao
ADALBERTO RAMOS ROSA,ADALBERTO RAMOS ROSA,2,1,1,0,2020-12-02,2021-09-01,1,1,sim,nao
ADALBERTO VALERIO OLIVEIRA FERNANDES,ADALBERTO VALERIO OLIVEIRA FERNANDES,2,1,1,0,2021-03-12,2023-01-09,2,1,sim,nao
ADAMO FERREIRA REUTHER,ÁDAMO FERREIRA REUTHER,2,1,1,1,2023-07-24,2026-03-23,1,2,sim,sim
ADAO GERALDO RAMPAZO,ADÃO GERALDO RAMPAZO,1,0,1,0,2022-06-08,2022-06-08,1,0,nao,nao
ADAO TOLENTINO DE CAMPOS,ADÃO TOLENTINO DE CAMPOS,1,1,0,0,2021-10-19,2021-10-19,1,0,nao,nao
ADAUCTO RODRIGUES MAGALHAES,ADAUCTO RODRIGUES MAGALHÃES,2,1,1,0,2023-03-14,2025-10-13,2,1,sim,nao
ADAUTO DE MIRANDA FAJARDO,ADAUTO DE MIRANDA FAJARDO,1,1,0,0,2024-05-23,2024-05-23,0,0,nao,nao
ADAUTO FABIANO DE OLIVEIRA,ADAUTO FABIANO DE OLIVEIRA,1,0,1,0,2021-02-05,2021-02-05,1,1,nao,nao
ADEILDO BISPO DA SILVA,ADEILDO BISPO DA SILVA,4,3,1,1,2021-08-16,2025-11-13,2,3,sim,sim
ADEILSON DE OLIVEIRA,ADEILSON DE OLIVEIRA,1,1,0,0,2025-10-14,2025-10-14,1,1,nao,nao
ADEILSON FERNANDES DA SILVA,ADEILSON FERNANDES DA SILVA,1,0,1,0,2021-07-02,2021-07-02,1,1,nao,nao
ADEILTON DE OLIVEIRA NUNES,ADEILTON DE OLIVEIRA NUNES,2,1,1,0,2021-01-11,2023-02-03,2,1,sim,nao
ADEILTON DIAS DA SILVA,ADEILTON DIAS DA SILVA,1,1,0,0,2023-01-16,2023-01-16,0,0,nao,nao
ADEJALDO ANTONIO DE AMORIM,ADEJALDO ANTÔNIO DE AMORIM,1,1,0,0,2021-08-13,2021-08-13,0,0,nao,nao
ADELIA CRISTINA LOPES COELHO,ADELIA CRISTINA LOPES COELHO,1,0,1,0,2022-10-24,2022-10-24,1,0,nao,nao
ADELIA DIONIZIO DA SILVA,ADELIA DIONIZIO DA SILVA,2,1,1,0,2023-03-06,2023-06-15,1,2,sim,nao
ADELINO JOSE BORGES NETO,ADELINO JOSÉ BORGES NETO,2,1,1,1,2021-06-25,2025-03-28,1,0,sim,sim
ADELSON CARDOSO SANTOS JUNIOR,ADELSON CARDOSO SANTOS JUNIOR,1,0,1,0,2020-10-27,2020-10-27,1,1,nao,nao
ADELSON SAMPAIO,ADELSON SAMPAIO,1,1,0,0,2025-01-06,2025-01-06,1,0,nao,nao
ADEMAR GOMES MOURA,ADEMAR GOMES MOURA,2,1,1,0,2021-10-15,2023-05-08,2,1,sim,nao
ADEMAR TRINDADE FALCAO,ADEMAR TRINDADE FALCÃO,1,1,0,0,2020-11-16,2020-11-16,1,0,nao,nao
ADEMARIO MOTTA ALVES,ADEMARIO MOTTA ALVES,2,1,1,0,2024-07-10,2024-08-02,1,0,sim,nao
ADEMIR BARREIRA COELHO,ADEMIR BARREIRA COELHO,1,1,0,0,2024-01-12,2024-01-12,0,1,nao,nao
ADEMIR CANSIAN DORIGO FILHO,ADEMIR CANSIAN DORIGO FILHO,9,5,4,4,2021-06-15,2024-03-26,4,2,sim,sim
ADEMIR DA COSTA CARDOSO,ADEMIR DA COSTA CARDOSO,1,0,1,0,2020-12-04,2020-12-04,1,0,nao,nao
ADEMIR DE OLIVEIRA,ADEMIR DE OLIVEIRA,3,1,2,1,2023-11-08,2025-06-16,2,1,sim,sim
ADEMIR DE OLIVEIRA SANTOS,ADEMIR DE OLIVEIRA SANTOS,2,1,1,1,2025-09-23,2025-12-16,2,0,sim,sim
ADEMIR DOS SANTOS PAIXAO FILHO,ADEMIR DOS SANTOS PAIXÃO FILHO,1,0,1,0,2020-12-02,2020-12-02,1,1,nao,nao
ADEMIR MARCELO DOS SANTOS EUGENIO,ADEMIR MARCELO DOS SANTOS EUGENIO,1,1,0,0,2025-02-04,2025-02-04,1,1,nao,nao
ADEMIR PEREIRA DOS SANTOS,ADEMIR PEREIRA DOS SANTOS,1,1,0,0,2022-05-23,2022-05-23,1,0,nao,nao
ADEMIR TOMAZ,ADEMIR TOMAZ,1,0,1,0,2020-11-30,2020-11-30,1,0,nao,nao
ADEMIR VIEIRA FORTUNATO,ADEMIR VIEIRA FORTUNATO,1,1,0,0,2026-03-20,2026-03-20,1,1,nao,nao
ADENAUER AGUIAR BASTOS,ADENAUER AGUIAR BASTOS,1,1,0,0,2024-08-26,2024-08-26,1,1,nao,nao
ADENILCE SILVA DOS SANTOS,ADENILCE SILVA DOS SANTOS,1,1,0,0,2024-08-19,2024-08-19,1,0,nao,nao
ADENILSON HONORATO DA SILVA,ADENILSON HONORATO DA SILVA,4,2,2,2,2021-06-07,2024-10-10,1,0,sim,sim
ADENILSON LUIZ THEODORO DA SILVA,ADENILSON LUIZ THEODORO DA SILVA,1,1,0,0,2021-04-15,2021-04-15,0,0,nao,nao
ADENILSON NUNES BEATRIZ,ADENILSON NUNES BEATRIZ,1,0,1,0,2024-03-04,2024-03-04,1,1,nao,nao
ADENIR MARCELO DOS SANTOS EUGENIO,ADENIR MARCELO DOS SANTOS EUGÊNIO,2,1,1,1,2025-07-29,2025-07-31,2,1,sim,sim
ADERALDO DA SILVA PAES,ADERALDO DA SILVA PAES,3,2,1,0,2021-06-18,2022-01-05,1,1,sim,nao
ADERILSON BARBOSA MUNIZ,ADERILSON BARBOSA MUNIZ,2,1,1,0,2023-03-13,2023-08-02,1,0,sim,nao
ADERLANDIA DE ARAUJO MOREIRA,ADERLÂNDIA DE ARAÚJO MOREIRA,1,0,1,0,2022-04-08,2022-04-08,1,0,nao,nao
ADESILIO DE OLIVEIRA MORAES,ADESILIO DE OLIVEIRA MORAES,1,0,1,0,2020-12-15,2020-12-15,1,0,nao,nao
ADHAN WILLIAN PROTHES DIAS,ADHAN WILLIAN PROTHES DIAS,1,0,1,0,2024-04-05,2024-04-05,1,0,nao,nao
ADHERBAL DUARTE D AVILA,ADHERBAL DUARTE D AVILA,3,1,2,1,2021-08-03,2021-10-05,2,1,sim,sim
ADIB MIGUEL,ADIB MIGUEL,1,0,1,0,2020-11-12,2020-11-12,1,0,nao,nao
ADIEL CUNHA DE MORAIS NETO,ADIEL CUNHA DE MORAIS NETO,5,3,2,2,2023-08-14,2024-05-27,5,2,sim,sim
ADIEL CUNHA MORAIS NETO,ADIEL CUNHA MORAIS NETO,1,0,1,0,2024-11-05,2024-11-05,1,0,nao,nao
ADILA LIMA GLORIA,ÁDILA LIMA GLÓRIA,1,1,0,0,2026-03-12,2026-03-12,1,1,nao,nao
ADILSON ADRIANO BAPTISTA,ADILSON ADRIANO BAPTISTA,2,1,1,1,2023-03-20,2023-03-20,2,2,sim,sim
ADILSON ALVES DE SOUZA,ADILSON ALVES DE SOUZA,1,1,0,0,2025-08-15,2025-08-15,1,0,nao,nao
ADILSON BARROS SARTI,ADILSON BARROS SARTI,1,0,1,0,2023-04-17,2023-04-17,1,1,nao,nao
ADILSON BLOISE JUNIOR,ADILSON BLOISE JUNIOR,3,2,1,1,2024-10-21,2025-03-27,2,1,sim,sim
ADILSON COSME DA SILVA JUNIOR,ADILSON COSME DA SILVA JUNIOR,1,1,0,0,2021-07-01,2021-07-01,0,0,nao,nao
ADILSON COTRIM DE MORAES,ADILSON COTRIM DE MORAES,3,2,1,1,2021-07-15,2022-04-12,3,0,sim,sim
ADILSON DA ROCHA CARVALHO FILHO,ADILSON DA ROCHA CARVALHO FILHO,1,1,0,0,2025-04-08,2025-04-08,1,0,nao,nao
ADILSON DA SILVA MOREIRA DOS SANTOS,ADILSON DA SILVA MOREIRA DOS SANTOS,5,3,2,2,2022-04-06,2025-01-30,2,1,sim,sim
ADILSON DE ANDRADE JUNIOR,ADILSON DE ANDRADE JUNIOR,3,1,2,0,2021-08-10,2023-06-01,2,0,sim,nao
ADILSON DE ASSIS MARTINS,ADILSON DE ASSIS MARTINS,2,1,1,0,2026-03-02,2026-04-17,2,0,sim,nao
ADILSON DE FARIA MACIEL,ADILSON DE FARIA MACIEL,3,1,2,1,2023-05-16,2026-04-29,3,1,sim,sim
ADILSON DE JESUS OLIVEIRA,ADILSON DE JESUS OLIVEIRA,1,0,1,0,2023-05-08,2023-05-08,1,1,nao,nao
ADILSON DE OLIVEIRA MACHADO JUNIOR,ADILSON DE OLIVEIRA MACHADO JUNIOR,1,0,1,0,2026-04-17,2026-04-17,1,0,nao,nao
ADILSON GOMES DA SILVA,ADILSON GOMES DA SILVA,1,1,0,0,2023-10-23,2023-10-23,1,1,nao,nao
ADILSON JUSTINO PEREIRA JUNIOR,ADILSON JUSTINO PEREIRA JUNIOR,5,3,2,2,2025-04-14,2026-04-16,3,2,sim,sim
ADILSON LOPES DE OLIVEIRA,ADILSON LOPES DE OLIVEIRA,2,1,1,1,2022-02-08,2022-02-08,1,1,sim,sim
ADILSON MARQUES DOS SANTOS,ADILSON MARQUES DOS SANTOS,1,1,0,0,2023-07-26,2023-07-26,0,0,nao,nao
ADILSON OLIVEIRA DO NASCIMENTO,ADILSON OLIVEIRA DO NASCIMENTO,2,1,1,0,2022-06-06,2023-01-12,1,2,sim,nao
ADILSON PEREIRA DA SILVA,ADILSON PEREIRA DA SILVA,2,1,1,0,2021-08-09,2021-09-22,1,1,sim,nao
ADILSON TERTO DA SILVA,ADILSON TERTO DA SILVA,1,1,0,0,2023-12-06,2023-12-06,1,0,nao,nao
ADILSON ZEGUR,ADILSON ZEGUR,2,1,1,1,2022-04-11,2022-04-11,1,2,sim,sim
ADIMILTON DO NASCIMENTO PONTES,ADIMILTON DO NASCIMENTO PONTES,3,2,1,0,2023-10-18,2024-11-08,3,1,sim,nao
ADINALDO FERREIRA DO NASCIMENTO,ADINALDO FERREIRA DO NASCIMENTO,1,1,0,0,2024-03-01,2024-03-01,0,1,nao,nao
ADINALVA FERNANDES DA SILVA,ADINALVA FERNANDES DA SILVA,1,1,0,0,2024-01-04,2024-01-04,0,1,nao,nao
ADIR VINICIUS,ADIR VINICIUS,1,0,1,0,2022-09-12,2022-09-12,1,1,nao,nao
ADMILSON DELOURDES FERREIRA,ADMILSON DELOURDES FERREIRA,1,0,1,0,2025-10-01,2025-10-01,1,1,nao,nao
ADMIR SALES,ADMIR SALES,1,1,0,0,2022-01-24,2022-01-24,0,0,nao,nao
ADMIR SALES DA SILVA FILHO,ADMIR SALES DA SILVA FILHO,1,0,1,0,2022-04-26,2022-04-26,1,0,nao,nao
ADNA DOS SANTOS SA SPASOJEVIC,ADNA DOS SANTOS SÁ SPASOJEVIC,2,1,1,0,2023-02-08,2025-02-14,1,1,sim,nao
ADNARA DE SOUZA FERNANDES,ADNARA DE SOUZA FERNANDES,2,1,1,1,2023-11-01,2023-11-06,1,2,sim,sim
ADNIER TELIS REIS,ADNIER TELIS REIS,1,1,0,0,2021-07-21,2021-07-21,0,0,nao,nao
ADOLPHO JABOUR AGUIAR,ADOLPHO JABOUR AGUIAR,4,2,2,1,2021-03-05,2022-06-10,2,2,sim,sim
ADONIS LOPES DE OLIVEIRA,ADONIS LOPES DE OLIVEIRA,2,1,1,0,2021-01-19,2026-04-13,1,2,sim,nao
ADONIS RICARDO SILVA REIS,ADONIS RICARDO SILVA REIS,1,1,0,0,2024-04-02,2024-04-02,1,1,nao,nao
ADOVANO DA SILVA SANTOS,ADOVANO DA SILVA SANTOS,4,2,2,1,2021-07-13,2023-02-15,3,2,sim,sim
ADRIAN DE PAULA SOUZA,ADRIAN DE PAULA SOUZA,1,1,0,0,2021-04-26,2021-04-26,1,1,nao,nao
ADRIAN RABELLO PRADO,ADRIAN RABELLO PRADO,1,0,1,0,2022-11-04,2022-11-04,1,1,nao,nao
ADRIANA ABREU DA SILVA,ADRIANA ABREU DA SILVA,6,3,3,3,2021-02-02,2024-09-09,4,3,sim,sim
ADRIANA ALMEIDA DE CARVALHO,ADRIANA ALMEIDA DE CARVALHO,1,1,0,0,2020-12-10,2020-12-10,1,1,nao,nao
ADRIANA ALVES DA COSTA,ADRIANA ALVES DA COSTA,1,0,1,0,2022-03-17,2022-03-17,1,1,nao,nao
ADRIANA ALVES DOS SANTOS,ADRIANA ALVES DOS SANTOS,1,1,0,0,2025-10-28,2025-10-28,1,1,nao,nao
ADRIANA ALVES PINTO DE CASTRO,ADRIANA ALVES PINTO DE CASTRO,3,2,1,1,2024-08-21,2025-10-01,1,1,sim,sim
ADRIANA ALVES SUTERO DE SOUZA,ADRIANA ALVES SUTERO DE SOUZA,1,0,1,0,2021-01-08,2021-01-08,1,0,nao,nao
ADRIANA ANGUIANO MARCHESE,ADRIANA ANGUIANO MARCHESE,2,1,1,1,2025-02-17,2025-02-17,2,2,sim,sim
ADRIANA ANTUNES DE CERQUEIRA,ADRIANA ANTUNES DE CERQUEIRA,2,1,1,0,2021-01-26,2023-01-09,1,0,sim,nao
ADRIANA AUGUSTA DA SILVA MEJIAS,ADRIANA AUGUSTA DA SILVA MEJIAS,1,1,0,0,2020-12-10,2020-12-10,1,1,nao,nao
ADRIANA BARROSO SANTOS TELES,ADRIANA BARROSO SANTOS TELES,4,2,2,1,2021-07-12,2023-03-06,2,2,sim,sim
ADRIANA BOSSLE DOS REIS,ADRIANA BOSSLE DOS REIS,2,1,1,1,2023-07-04,2023-07-14,1,0,sim,sim
