nome_normalizado,ordem_pessoa,estado,diario,data_publicacao,ano,tipo_ato,nome,nome_original_csv,spacy_pessoa,spacy_entidades,cargo,orgao,assinante,cargo_assinante,categoria_assinante,governador_edicao,representante_governo,origem_representante,caderno,fonte_url,arquivo_markdown,arquivo_csv,linha_csv,ato_anterior,data_anterior,cargo_anterior,orgao_anterior,dias_desde_anterior,retorno_apos_exoneracao,data_exoneracao_anterior,cargo_exoneracao_anterior,orgao_exoneracao_anterior,dias_desde_exoneracao,mudou_cargo_desde_exoneracao,mudou_orgao_desde_exoneracao,marco_governo,data_marco_governo,dias_desde_marco_governo
ABDIAS CRUZ DA SILVA,3,RJ,Diario Oficial do Estado do Rio de Janeiro,2021-07-13,2021,nomeacao,ABDIAS CRUZ DA SILVA,ABDIAS CRUZ DA SILVA,sim,Abdias Cruz:PER,,,,,,Claudio Bomfim de Castro e Silva - Governador,Claudio Bomfim de Castro e Silva,Executivo estadual,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VWxWUk5GRXdUVEpSYWtsMFVWVlpORkY1TURCT1JFbDNURlJvUWxKRVFYUk5SVTB5VW1wTk1GSkVRa05OTUZFelRWUmpNMDlFUVhwTmVtY3hUVUU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2021\07\DOERJ_PARTE_I_PODER_EXECUTIVO_2021-07-13.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2021.csv,4090,exoneracao,2021-06-22,do cargo em comissão de Ajudante I,,21,sim,2021-06-22,do cargo em comissão de Ajudante I,,21,nao,nao,,,
ABEL ASSIS CABRAL DA SILVA,4,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-10-24,2025,nomeacao,ABEL ASSIS CABRAL DA SILVA,ABEL ASSIS CABRAL DA SILVA,sim,ABEL ASSIS CABRAL DA SILVA:PER,para exercer o cargo em comissão de Chefe de Divisão,da Superintendência de Desportos do Estado do Rio de Janeiro - SUDERJ,,Secretario,5,Claudio Bomfim de Castro e Silva - Governador,Claudio Bomfim de Castro e Silva,Executivo estadual,Parte I (Poder Executivo) - Complementar 2,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGtSTmVrMUZXVEJTYWtWMFVWUlJNMDVwTURCUlZGcEdURlZHUTA0d1NYUlJlbHBFVGtSWk0xRjZVVE5SYTBaR1RWUmpNMDlFUVRSTmFrMTZUa0U5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2025\10\DOERJ_PARTE_I_PODER_EXECUTIVO_COMPLEMENTAR_2_2025-10-24.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,9000,exoneracao,2025-10-24,do cargo em comissão de Assessor Especial,da Superintendência de Desportos do Estado do Rio de Janeiro - SUDERJ,0,sim,2025-10-24,do cargo em comissão de Assessor Especial,da Superintendência de Desportos do Estado do Rio de Janeiro - SUDERJ,0,sim,nao,,,
ABEL ROBERTH JUNIOR,3,RJ,Diario Oficial do Estado do Rio de Janeiro,2019-06-03,2019,nomeacao,ABEL ROBERTH JUNIOR,ABEL ROBERTH JUNIOR,sim,ABEL ROBERTH JUNIOR:MISC|Abel Roberth Junior:PER,para exercer o cargo em comissão de Assessor-Chefe,da Superintendência de Desportos do Estado do Rio de Janeiro - SUDERJ,,Secretario,5,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFhwTk5FNUVWa0pTVkZsMFQwUmpORkZwTURCTmVrbDVURlJyTWxFd1RYUlBSR3MxVFVSU1IwOVVXa1pTYWtwRFRWUmpNMDlFU1hwT2VsVXlUMEU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2019\06\DOERJ_PARTE_I_PODER_EXECUTIVO_2019-06-03.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2019.csv,5850,exoneracao,2019-06-03,do cargo em comissão de Assistente,do Departamento de Marketing,0,sim,2019-06-03,do cargo em comissão de Assistente,do Departamento de Marketing,0,sim,sim,,,
ABEL ROBERTH JUNIOR,5,RJ,Diario Oficial do Estado do Rio de Janeiro,2020-01-10,2020,nomeacao,ABEL ROBERTH JUNIOR,ABEL ROBERTH JUNIOR,sim,ABEL ROBERTH JUNIOR:MISC|Abel Roberth Junior:PER,,,,Secretario,5,Claudio Bomfim de Castro e Silva - Governador em exercicio,Claudio Bomfim de Castro e Silva,Executivo estadual,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwS1FsRnFVa2RSZWxWMFRYcGtSRkpETURCTmEwNUdURlJzUlUxRWEzUk9SVWt5VWxSQ1IwNTZVVEpTVkVVMFRWUmpNMDlFU1hoTlJFVXdUVUU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-01-10.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2020.csv,10196,exoneracao,2019-12-30,do cargo em comissão de Assessor Chefe,da Superintendência de Desportos do Estado do Rio de Janeiro - SUDERJ,11,sim,2019-12-30,do cargo em comissão de Assessor Chefe,da Superintendência de Desportos do Estado do Rio de Janeiro - SUDERJ,11,nao,nao,,,
ABELARD PAIVA DE ABREU,2,RJ,Diario Oficial do Estado do Rio de Janeiro,2017-12-13,2017,nomeacao,ABELARD PAIVA DE ABREU,ABELARD PAIVA DE ABREU,sim,ABELARD:ORG|Abelard Paiva:PER,para exercer o cargo em comissão de Assessor,da Superintendência de Desportos do Estado do Rio de Janeiro - SUDERJ,,Governador,1,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDFSVk1GRlZWa1pSYWsxMFVsUkpNVTFUTURCUFZVVXpURlJzUkUwd1NYUlBWVWwzVGxWUmVsSnFWVFZOVkdoSFRWUmpNMDlFVFRCUFJGbDVUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2017\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2017-12-13.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2017.csv,237,exoneracao,2017-12-13,do cargo em comissão de Auxiliar,da Superintendência de Desportos do Estado do Rio de Janeiro - SUDERJ,0,sim,2017-12-13,do cargo em comissão de Auxiliar,da Superintendência de Desportos do Estado do Rio de Janeiro - SUDERJ,0,sim,nao,,,
ABELARD PAIVA DE ABREU,4,RJ,Diario Oficial do Estado do Rio de Janeiro,2020-08-12,2020,nomeacao,ABELARD PAIVA DE ABREU,ABELARD PAIVA DE ABREU,sim,ABELARD:ORG|Abelard Paiva:PER,para exercer o cargo em comissão de Chefe de Divisão,do Departamento de Administração e Finanças,,Secretario,5,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDFWT1JrMHdWVEZSVlZWMFVWUlZlazlETURCTlZFbDVURlJuZWs5VlZYUk5SVlV3VG5wWk5VNTZTVEpTUkVVd1RWUmpNMDlFUlRST1JFMHpUV2M5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\08\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-08-12.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2020.csv,4784,exoneracao,2020-08-12,do cargo em comissão de Assessor,da Superintendência de Desportos do Estado do Rio de Janeiro - SUDERJ,0,sim,2020-08-12,do cargo em comissão de Assessor,da Superintendência de Desportos do Estado do Rio de Janeiro - SUDERJ,0,sim,sim,,,
ABELARD PAIVA DE ABREU,6,RJ,Diario Oficial do Estado do Rio de Janeiro,2021-03-11,2021,nomeacao,ABELARD PAIVA DE ABREU,ABELARD PAIVA DE ABREU,sim,ABELARD:ORG|Abelard Paiva:PER,para exercer o cargo em comissão de Assistente,do Departamento de Administração e Finanças,,,,Claudio Bomfim de Castro e Silva - Governador em exercicio,Claudio Bomfim de Castro e Silva,Executivo estadual,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDFWSk5GSlVRVEZQVkdkMFQwUkZNVTE1TURCTmFsVjZURlZKZVUxVldYUlNSRXBIVFdwTk1rNTZhM2hOVlZwRlRWUmpNMDlFUVRCT1JHY3pUbWM5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2021\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2021-03-11.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2021.csv,7745,exoneracao,2021-03-11,do cargo em comissão de Chefe de Divisão,do Departamento de Administração e Finanças,0,sim,2021-03-11,do cargo em comissão de Chefe de Divisão,do Departamento de Administração e Finanças,0,sim,nao,,,
ABELARDO HOLLANDA,3,RJ,Diario Oficial do Estado do Rio de Janeiro,2019-05-07,2019,nomeacao,ABELARDO HOLLANDA,ABELARDO HOLLANDA,sim,Abelardo Hollanda:PER,para exercer o Cargo de Confiança de Gerente de Agência,,,Secretario,5,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFRCS1IxSlZSa1pTYW1OMFRrUldSVTlUTURCT2VscEZURlJyTUUxcVozUlJlbFV3VFdwRk5VMVZUWGxPVkZsNlRWUmpNMDlFU1RCUFJFa3dUVUU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2019\05\DOERJ_PARTE_I_PODER_EXECUTIVO_2019-05-07.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2019.csv,7014,exoneracao,2019-05-07,do Cargo de Confiança de Chefe de Gabinete,,0,sim,2019-05-07,do Cargo de Confiança de Chefe de Gabinete,,0,sim,nao,,,
ABELARDO HOLLANDA,5,RJ,Diario Oficial do Estado do Rio de Janeiro,2019-08-07,2019,nomeacao,ABELARDO HOLLANDA,ABELARDO HOLLANDA,sim,Abelardo Hollanda:PER,para exercer o Cargo de Assessor Especial,,,Secretario,5,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVhwc1JrOVZSWGhSTUZWMFQwUmpNRkY1TURCUk1GSkRURlZKZVU1cVFYUlNha0Y1VFZWSk1VMXFWa1ZOYTAxM1RWUmpNMDlFU1hwTlJHTXpUbWM5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2019\08\DOERJ_PARTE_I_PODER_EXECUTIVO_2019-08-07.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2019.csv,4192,exoneracao,2019-08-02,do Cargo de Confiança de Gerente de Agência,,5,sim,2019-08-02,do Cargo de Confiança de Gerente de Agência,,5,sim,nao,,,
ABELARDO HOLLANDA DO AMARAL FILHO,3,RJ,Diario Oficial do Estado do Rio de Janeiro,2022-03-09,2022,nomeacao,ABELARDO HOLLANDA DO AMARAL FILHO,ABELARDO HOLLANDA DO AMARAL FILHO,sim,Abelardo Hollanda Do Amaral Filho:PER,para exercer o cargo em comissão de Assessor,da Autarquia de Proteção e Defesa do Consumidor do Estado do Rio de Janeiro - PROCON-RJ,,,,Claudio Bomfim de Castro e Silva - Governador,Claudio Bomfim de Castro e Silva,Executivo estadual,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VWtWSk5WSnJWa2ROZWxsMFVsUmFSVTFETURCUFJGRjNURlJzUTAxcldYUlNhMGwzVVZSak1GSnJWa1pTVlUxM1RWUmpNMDU2YXpOT2VrVXhUV2M5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2022\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2022-03-09.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2022.csv,5367,exoneracao,2020-03-10,do Cargo de Assessor Especial da Diretoria Administrativa,,729,sim,2020-03-10,do Cargo de Assessor Especial da Diretoria Administrativa,,729,sim,nao,,,
